City_ID,City,Latitude,Longitude,Max Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (m/sec),Country,Date
82,albany,42.6001,-73.9662,19.7,66,75,4.74,US,1698523788
83,southwater,51.0237,-0.3517,15.03,96,75,3.6,GB,1698524005
84,blackmans bay,-43.0167,147.3167,8.18,80,99,0.45,AU,1698523902
85,aykhal,66.0,111.5,-18.76,100,85,4.5,RU,1698524005
86,upington,-28.4478,21.2561,20.21,26,1,7.2,ZA,1698524006
87,vila franca do campo,37.7167,-25.4333,18.27,99,100,5.97,PT,1698524006
88,reggane,26.7158,0.1714,31.83,15,30,2.99,DZ,1698524006
89,haiku-pauwela,20.9219,-156.3051,28.98,61,40,8.23,US,1698523862
90,griffith,41.5284,-87.4237,10.61,66,100,4.12,US,1698524006
91,mizdah,31.4451,12.9801,23.14,26,2,2.28,LY,1698523780
92,hasaki,35.7333,140.8333,12.38,65,25,7.88,JP,1698524006
93,qaqortoq,60.7167,-46.0333,0.31,81,20,1.55,GL,1698524007
94,zhangjiakou,40.81,114.8794,10.42,47,0,1.1,CN,1698524007
95,pisco,-13.7,-76.2167,23.03,68,20,4.63,PE,1698524007
96,port isabel,26.0734,-97.2086,32.23,60,20,9.77,US,1698524007
97,sitia,35.2,26.0986,22.77,83,5,1.14,GR,1698524007
98,bhasawar,27.0333,77.0333,23.94,36,49,0.31,IN,1698524007
99,kodiak,57.79,-152.4072,7.73,93,100,6.69,US,1698523955
100,samarinda,-0.5,117.15,22.35,99,45,0.85,ID,1698524008
101,punta arenas,-53.15,-70.9167,3.95,73,98,0.56,CL,1698524008
102,saipan,15.1355,145.701,27.39,94,40,2.57,MP,1698523920
103,college,64.8569,-147.8028,-3.39,84,75,1.34,US,1698523839
104,iqaluit,63.7506,-68.5145,-12.15,78,20,4.12,CA,1698524008
105,flying fish cove,-10.4217,105.6791,24.82,88,75,4.63,CX,1698524008
106,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,0,4.0,RU,1698523865
107,vernon,50.2581,-119.2691,6.53,48,0,1.54,CA,1698524008
108,gudur,14.1333,79.85,26.2,82,18,1.13,IN,1698524009
109,margaret river,-33.95,115.0667,14.65,82,100,4.99,AU,1698523919
110,petrila,45.45,23.4167,9.87,77,2,1.11,RO,1698524009
111,kingston,17.997,-76.7936,31.53,67,20,3.09,JM,1698524000
112,carnarvon,-24.8667,113.6333,19.38,67,2,10.95,AU,1698524009
113,wuzhou,23.4833,111.3167,21.86,81,93,1.36,CN,1698524009
114,tughyl,47.7252,84.2063,4.59,53,100,7.32,KZ,1698524010
115,daru,-9.0763,143.2092,24.87,93,100,6.9,PG,1698523818
